Product,Price,Amount,Serving Size,Calories,Ingredients,Allergens
Can 19.2fz Ipa,$2.99,Unknown,Unknown,Unknown,Unknown,Unknown
Extra Stout 22oz Bottle,$3.99,Unknown,Unknown,Unknown,Unknown,Unknown
Belgian Delirium Tremens Single,$5.99,Unknown,Unknown,Unknown,Unknown,Unknown
Now Youse Can't Leave Double Ipa,$14.99,Unknown,Unknown,Unknown,Unknown,Unknown
German Lager 4pk Cans,$9.49,16.9 fl oz,Unknown,Unknown,Unknown,Unknown
Big Little Thing Imperial IPA 12oz Can,$2.79,Unknown,Unknown,Unknown,Unknown,Unknown
Nocturnum Belgian Dark Ale 4/500ml Cans,$23.99,Unknown,Unknown,Unknown,Unknown,Unknown
Brooklyn Oktoberfest,$10.49,12 fl oz,Unknown,Unknown,Unknown,Unknown
Stone IPA 6pk 12oz Can,$10.99,Unknown,Unknown,Unknown,Unknown,Unknown
Ipa 16fz 4pk Cans,$16.49,Unknown,Unknown,Unknown,Unknown,Unknown
German Wheat 4pk Cans,$9.49,16.9 fl oz,Unknown,Unknown,Unknown,Unknown
Cinq Cents Ale,$13.99,Unknown,Unknown,Unknown,Unknown,Unknown
Trappist Ale Single,$6.99,11.2 fl oz,Unknown,Unknown,Unknown,Unknown
Oktoberfest 6pk,$13.49,Unknown,Unknown,Unknown,Unknown,Unknown
Pumpkin Ale 6pk Cans,$9.99,12 fl oz,Unknown,Unknown,Unknown,Unknown
Ipa 4pk Cans,$15.99,16 fl oz,Unknown,Unknown,Unknown,Unknown
1664,$8.49,Unknown,Unknown,Unknown,Unknown,Unknown
Strawberry Lambic 4pk,$14.99,8.5 fl oz,Unknown,Unknown,Unknown,Unknown
Organic Hard Cider,$7.99,22 fl oz,Unknown,Unknown," Organic Fresh Apple Juice, Yeast.",Unknown
Semi Dry Cider 4pk Cans,$10.99,12 fl oz,1 can,155, New England & UK Apples.,Unknown
Hard Kombucha Rotating Variety 6pk,$13.99,12 oz cans,Unknown,Unknown," Kombucha (Water, Sugar†, Black Tea†, Yeast, Bacteria^), Ginger†, Turmeric†, Passionfruit Flavor†, Hop Flavor†, Acerola Juice†, Monk Fruit Juice†, Fruit and Vegetable Juice†.",Unknown
Wit`s Up Apple Cider Cans 4pk,$13.49,64 oz,16 oz,155,100% Locally Sourced Apples.,Unknown
Elephant Strong Lager 4pk 16.9oz Cans,$7.49,Unknown,Unknown,Unknown,Unknown,Unknown
Big Wave 12Pk,$21.49,Unknown,Unknown,Unknown,Unknown,Unknown
Dry Cider 4pk,$15.99,12 fl oz,1 bottle (355 ml),166,"Hard Cider from Apples and Pears, Carbon Dioxide, Malic Acid, Sugar, Sulfites To Preserve Freshness.",Unknown
Original Blend Cider 4pk,$8.49,Unknown,1 can,182," Freshly Pressed Apple Cider, Malic Acid.",Unknown
Oh-J Double IPA,$17.49,Unknown,Unknown,Unknown,Unknown,Unknown
Trappist 8,$6.49,Unknown,Unknown,Unknown,Unknown,Unknown
Hop Mimosa Cider,$11.99,12 oz,Unknown,Unknown,Unknown,Unknown
Lager 4pk Cans,$9.99,64 fl oz,Unknown,Unknown,Unknown,Unknown
Extra 12pk Cans,$19.99,Unknown,Unknown,Unknown,Unknown,Unknown
Tripel Belgian-style Golden Ale,$11.49,Unknown,Unknown,Unknown,Unknown,Unknown
Standard Hard Cider 6pk Can,$12.49,12 oz,12 oz (355 ml),140," Hard Apple Cider, Filtered Water, Bittersweet Apple Concentrate, Malic Acid, Sulfites (To Preserve Freshness), Carbon Dioxide",Unknown
Tiny Juicy IPA,$10.99,72 fl oz,Unknown,Unknown,Unknown,Unknown
India Pale Ale 22fz Sgl,$16.49,Unknown,Unknown,Unknown,Unknown,Unknown
Gose Rose Cider,$11.99,12 oz,12 oz (355 ml),160,"Ny Hard Cider, Smoked Agave Syrup, Lime Concentrate, Lemon Zest, Lime Zest, Naw Lemon Extract, Sulfites (To Preserve Freshness)",Unknown
Lager 25fz Can,$4.49,Unknown,Unknown,Unknown,Unknown,Unknown
Scottish Ale 4pk,$14.49,Unknown,Unknown,Unknown,Unknown,Unknown
White 19.2fz,$2.99,Unknown,Unknown,Unknown,Unknown,Unknown
Narragansett - Fresh Catch Golden Ale 6pk,$9.49,Unknown,Unknown,Unknown,Unknown,Unknown
Deepfake Non-Alcoholic IPA 6pk Cans,$12.99,12 oz cans,Unknown,Unknown,Unknown,Unknown
Grand Reserve Ale,$6.99,11.2 fl oz,Unknown,Unknown,Unknown,Unknown
Shandy Beer,$10.99,102 fl oz,Unknown,Unknown,Unknown,Unknown
Seasonal 6pk Cans,$9.49,16 fl oz,Unknown,Unknown,Unknown,Unknown
Brooklyn East IPA,$10.49,72 fl oz,Unknown,Unknown,Unknown,Unknown
Sour Monkey 19.2fz Can,$2.49,Unknown,Unknown,Unknown,Unknown,Unknown
Up And Comers,$13.99,Unknown,Unknown,Unknown,Unknown,Unknown
Lager 6pk,$9.49,96 fl oz,Unknown,Unknown,Unknown,Unknown
Premium Lager,$1.99,11.2 fl oz,Unknown,Unknown,Unknown,Unknown
Money Ipa,$17.99,Unknown,Unknown,Unknown,Unknown,Unknown
